,TotalFinishedArea,TotalAppraisedValue
861,734.0,65600.0
862,734.0,65600.0
863,4410.0,222900.0
864,6030.5,674100.0
865,7216.0,711000.0
866,3942.0,198700.0
867,676.0,25200.0
868,856.0,12000.0
869,856.0,12000.0
870,553.0,34700.0
871,553.0,34700.0
872,553.0,34700.0
873,856.0,12000.0
874,553.0,34700.0
875,553.0,34700.0
876,1260.0,124300.0
877,856.0,12000.0
878,856.0,12000.0
879,553.0,34700.0
880,856.0,12000.0
881,553.0,34700.0
882,1244.0,122100.0
883,856.0,12000.0
884,553.0,34700.0
885,553.0,34700.0
886,553.0,34700.0
887,1850.0000100000002,62400.0
888,1714.0,158700.0
889,553.0,34700.0
890,553.0,34700.0
891,553.0,34700.0
892,553.0,34700.0
893,553.0,34700.0
894,856.0,12000.0
895,820.0,42600.0
896,553.0,34700.0
897,856.0,12000.0
898,3801.0,185900.0
899,856.0,12000.0
900,1280.0,56700.0
901,553.0,34700.0
902,856.0,12000.0
903,3235.20001,182900.0
904,1280.0,56700.0
905,553.0,34700.0
906,553.0,34700.0
907,856.0,12000.0
908,553.0,34700.0
909,553.0,34700.0
910,1098.0,88900.0
911,553.0,34700.0
912,553.0,34700.0
913,553.0,34700.0
914,1023.0,131700.0
915,1302.0,74300.0
916,1023.0,131700.0
917,4031.5,246300.0
918,4044.0,173400.0
919,4950.0,164900.0
920,1381.0,139400.0
921,7017.0,183300.0
922,5742.0,194300.0
923,3606.25,332800.0
924,1176.0,127400.0
925,1381.0,139400.0
926,2160.0,140300.0
927,2160.0,140300.0
928,2160.0,140300.0
929,3720.0,207600.0
930,3372.0,122700.0
931,1342.25,113700.0
932,1041.6000099999999,124000.0
933,1041.6000099999999,124000.0
934,3137.5,120600.0
935,3600.0,138000.0
936,899.0,138600.0
937,1566.0,132000.0
938,2508.0,126000.0
939,8412.6,536300.0
940,899.0,138600.0
941,1566.0,132000.0
942,3666.0,166100.0
943,3440.75,285300.0
944,1566.0,132100.0
945,5052.0,475000.0
946,1092.0,133100.0
947,1021.0,128700.0
948,1021.0,128700.0
949,5052.0,475000.0
950,1566.0,132100.0
951,1021.0,128700.0
952,1566.0,132000.0
953,899.0,138600.0
954,3440.75,285300.0
955,1244.0,122100.0
956,2150.0,190500.0
957,1859.0,140500.0
958,2150.0,190500.0
959,4410.0,151700.0
960,1384.0,114700.0
961,2207.5,132700.0
962,1509.3,41500.0
963,1509.3,41500.0
964,1284.0,44300.0
965,1152.0,114200.0
966,1738.0,124600.0
967,3801.0,140200.0
968,1859.0,140500.0
969,2150.0,190500.0
970,1509.3,41500.0
971,1509.3,41500.0
972,1509.3,41500.0
973,1859.0,140500.0
974,1960.0,146600.0
975,1509.3,41500.0
976,3885.0,145600.0
977,2207.5,132700.0
978,1648.0,123200.0
979,1737.0,136000.0
980,2782.0,144100.0
981,3321.0,201400.0
982,2145.60001,156500.0
983,3477.0,202100.0
984,1172.0,115900.0
985,950.0,29800.0
986,1092.0,33800.0
987,1092.0,33800.0
988,1092.0,33500.0
989,950.0,29800.0
990,1148.0,28600.0
991,950.0,29800.0
992,1089.0,28300.0
993,1140.0,34200.0
994,1092.0,33800.0
995,942.0,29700.0
996,1068.0,33700.0
997,1092.0,33500.0
998,950.0,29800.0
999,1017.0,30300.0
1000,1140.0,34200.0
1001,1113.0,28400.0
1002,1140.0,34200.0
1003,1092.0,33800.0
1004,1089.0,28300.0
1005,1130.0,34200.0
1006,1388.00001,103000.0
1007,1162.0,31300.0
1008,942.0,29700.0
1009,942.0,29700.0
1010,1120.0,33600.0
1011,1140.0,33900.0
1012,1068.0,33700.0
1013,1120.0,33600.0
1014,950.0,29800.0
1015,1140.0,33900.0
1016,1046.0,33000.0
1017,1046.0,33000.0
1018,3959.0,181500.0
1019,1088.0,28200.0
1020,1130.0,34200.0
1021,1140.0,34200.0
1022,1092.0,33500.0
1023,1046.0,33000.0
1024,1136.0,28600.0
1025,1088.0,28200.0
1026,1140.0,33900.0
1027,1092.0,33800.0
1028,1092.0,33800.0
1029,1092.0,33800.0
1030,1140.0,34200.0
1031,942.0,29700.0
1032,1130.0,34200.0
1033,1068.0,33700.0
1034,1068.0,33700.0
1035,1140.0,33900.0
1036,1092.0,33800.0
1037,942.0,29700.0
1038,1140.0,34200.0
1039,1140.0,34200.0
1040,1092.0,33500.0
1041,1140.0,34200.0
1042,1068.0,33700.0
1043,1092.0,33800.0
1044,1140.0,33900.0
1045,1114.0,28400.0
1046,1007.0,30200.0
1047,1046.0,33000.0
1048,1092.0,33800.0
1049,1017.0,30300.0
1050,1140.0,34200.0
1051,1114.0,28400.0
1052,1148.0,28600.0
1053,1130.0,34200.0
1054,1140.0,34200.0
1055,1092.0,33500.0
1056,1007.0,30200.0
1057,1092.0,33800.0
1058,1092.0,33500.0
1059,934.0,29700.0
1060,950.0,29800.0
1061,1092.0,33800.0
1062,1068.0,33700.0
1063,1092.0,33800.0
1064,1140.0,34200.0
1065,1140.0,34200.0
1066,942.0,29700.0
1067,1092.0,33800.0
1068,1140.0,34200.0
1069,950.0,29800.0
1070,1140.0,34200.0
1071,950.0,29800.0
1072,1012.0,30200.0
1073,1092.0,33500.0
1074,1140.0,33900.0
1075,1120.0,33600.0
1076,1162.0,31300.0
1077,1140.0,33900.0
1078,1140.0,33900.0
1079,1068.0,33700.0
1080,1068.0,33700.0
1081,1092.0,33800.0
1082,8136.0,128600.0
1083,1113.0,28400.0
1084,1136.0,28600.0
1085,1092.0,33800.0
1086,1012.0,30200.0
1087,1120.0,33600.0
1088,1092.0,33500.0
1089,1140.0,34200.0
1090,934.0,29700.0
1091,1140.0,34200.0
1092,2716.0,151500.0
1093,3510.0,58400.0
1094,2716.0,151500.0
1095,2979.0,60600.0
1096,6120.0,179600.0
1097,6120.0,179600.0
1098,4125.0,172200.0
1099,2716.0,151500.0
1100,1014.0,129900.0
1101,9438.57,850000.0
1102,899.0,99300.0
1103,3714.0,154000.0
1104,1600.0,121300.0
1105,974.40001,119200.0
1106,3250.0,170000.0
1108,5399.0,303700.0
1109,974.40001,119200.0
1110,3714.0,154000.0
1111,2690.0,191100.0
1112,1180.0,118800.0
1113,4128.0,172600.0
1114,2782.0,144100.0
1115,1086.0,111700.0
1116,2304.0,72400.0
1117,1101.0,151000.0
1118,3744.0,148700.0
1119,1614.0,134200.0
1120,1904.0,142900.0
1121,2112.0,155900.0
1122,900.0,117000.0
1123,1360.0,103800.0
1124,1180.0,118800.0
1125,1041.6000099999999,139500.0
1126,898.0,81700.0
1127,1101.0,151000.0
1128,3744.0,148700.0
1129,2822.0,164300.0
1130,9438.57,850000.0
1131,2838.0,127000.0
1132,846.0,59600.0
1134,4248.0,185700.0
1135,3605.25,201700.0
1137,3786.5,417700.0
1138,7261.5,240100.0
1139,2782.0,144100.0
1140,3594.0,405200.0
1141,1904.0,142900.0
1143,4194.0,178500.0
1144,695.0,40900.0
1145,2648.0,137500.0
1146,645.0,38100.0
1147,2234.4000100000003,164500.0
1148,1284.0,44300.0
1149,3594.0,405200.0
1150,1405.0,133900.0
1151,2577.5,169700.0
1152,4248.0,185700.0
1153,1452.0,131900.0
1154,1244.0,122100.0
1155,4194.0,178500.0
1156,974.40001,119200.0
1157,1710.0,159700.0
1158,3594.0,405200.0
1159,2571.25,171800.0
1161,1388.00001,103000.0
1162,2782.0,144100.0
1163,1614.0,134200.0
1164,8490.0,402700.0
1165,1904.0,142900.0
1166,3250.0,170000.0
1167,612.0,24300.0
1168,1254.0,118200.0
1170,645.0,38100.0
1171,4210.40001,178500.0
1172,3355.0,134900.0
1173,3393.25,183900.0
1174,2123.0,414700.0
1175,2123.0,414700.0
1176,1123.20001,129700.0
1177,1123.20001,129700.0
1178,2828.00001,220400.0
1179,1365.0,137200.0
1180,3963.7,195700.0
1181,5871.0,245600.0
1182,2123.0,414700.0
1183,1123.20001,129700.0
1184,1698.0,154800.0
1185,790.0,38900.0
1186,2829.0,108200.0
1187,2414.0,109900.0
1188,1708.0,106100.0
1189,2340.0,184700.0
1190,2222.5,111300.0
1191,2414.0,109900.0
1192,1151.40001,130700.0
1193,5838.0,184600.0
1194,2414.0,109900.0
1195,4608.0,189000.0
1196,4240.75,158800.0
1197,1132.0,55100.0
1198,1333.0,176100.0
1199,5838.0,184600.0
1200,1839.0,139100.0
1201,4167.0,203800.0
1202,2900.0,189300.0
1203,1830.5,115800.0
1204,4167.0,203800.0
1205,2414.0,109900.0
1207,1576.0,151900.0
1208,1153.0,105000.0
1209,4131.0,164900.0
1210,1830.5,115800.0
1211,1153.0,105000.0
1212,4167.0,203800.0
1213,1576.0,151900.0
1214,1153.0,105000.0
